검색 키워드,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
Scoping,32994104,Language barriers between nurses and patients: A scoping review,"Gerchow L, Burka LR, Miner S, Squires A.",Patient Educ Couns. 2021 Mar;104(3):534-553. doi: 10.1016/j.pec.2020.09.017. Epub 2020 Sep 18.,Gerchow L,Patient Educ Couns,2021,2020/09/30,PMC8011998,NIHMS1680007,10.1016/j.pec.2020.09.017
Scoping,34154861,"The meaning of rapport for patients, families, and healthcare professionals: A scoping review","English W, Gott M, Robinson J.",Patient Educ Couns. 2022 Jan;105(1):2-14. doi: 10.1016/j.pec.2021.06.003. Epub 2021 Jun 15.,English W,Patient Educ Couns,2022,2021/06/22,,,10.1016/j.pec.2021.06.003
Scoping,33339657,A scoping review of the use of visual aids in health education materials for persons with low-literacy levels,"Mbanda N, Dada S, Bastable K, Ingalill GB, Ralf W S.",Patient Educ Couns. 2021 May;104(5):998-1017. doi: 10.1016/j.pec.2020.11.034. Epub 2020 Nov 27.,Mbanda N,Patient Educ Couns,2021,2020/12/19,,,10.1016/j.pec.2020.11.034
Scoping,37939596,Group-based patient education via videoconference: A scoping review,"Vaagan A, Haaland-Øverby M, Eriksen AA, Fredriksen K, Stenov V, Varsi C, Ingadóttir B, Cleal BR, Alvheim AR, Westermann KF, Strømme H, Kristjansdottir OB.",Patient Educ Couns. 2024 Jan;118:108026. doi: 10.1016/j.pec.2023.108026. Epub 2023 Oct 26.,Vaagan A,Patient Educ Couns,2024,2023/11/08,,,10.1016/j.pec.2023.108026
Scoping,35618551,A scoping review of education and training interventions in Autism Spectrum Disorder,"Morsa M, De Andrade V, Alcaraz C, De La Tribonnière X, Rattaz C, Baghdadli A.",Patient Educ Couns. 2022 Sep;105(9):2850-2859. doi: 10.1016/j.pec.2022.05.012. Epub 2022 May 21.,Morsa M,Patient Educ Couns,2022,2022/05/26,,,10.1016/j.pec.2022.05.012
Scoping,35168856,Virtual reality as a patient education tool in healthcare: A scoping review,"van der Kruk SR, Zielinski R, MacDougall H, Hughes-Barton D, Gunn KM.",Patient Educ Couns. 2022 Jul;105(7):1928-1942. doi: 10.1016/j.pec.2022.02.005. Epub 2022 Feb 10.,van der Kruk SR,Patient Educ Couns,2022,2022/02/16,,,10.1016/j.pec.2022.02.005
Scoping,36584555,Scoping review of the preferences of older adults for patient education materials,"Goodman C, Lambert K.",Patient Educ Couns. 2023 Mar;108:107591. doi: 10.1016/j.pec.2022.107591. Epub 2022 Dec 22.,Goodman C,Patient Educ Couns,2023,2022/12/30,,,10.1016/j.pec.2022.107591
Scoping,37738791,A systematic scoping review of patient and caregiver self-report measures of satisfaction with clinicians' communication,"Wollney EN, Vasquez TS, Fisher CL, Armstrong MJ, Paige SR, Alpert J, Bylund CL.",Patient Educ Couns. 2023 Dec;117:107976. doi: 10.1016/j.pec.2023.107976. Epub 2023 Sep 18.,Wollney EN,Patient Educ Couns,2023,2023/09/22,,,10.1016/j.pec.2023.107976
Scoping,37301011,(In)visibility of LGBTQIA+ people and relationships in healthcare: A scoping review,"Mitchell LA, Jacobs C, McEwen A.",Patient Educ Couns. 2023 Sep;114:107828. doi: 10.1016/j.pec.2023.107828. Epub 2023 May 29.,Mitchell LA,Patient Educ Couns,2023,2023/06/10,,,10.1016/j.pec.2023.107828
Scoping,31447194,"""Patient participation"" and related concepts: A scoping review on their dimensional composition","Halabi IO, Scholtes B, Voz B, Gillain N, Durieux N, Odero A, Baumann M, Ziegler O, Gagnayre R, Guillaume M, Bragard I, Pétré B; APPS Interreg Group.",Patient Educ Couns. 2020 Jan;103(1):5-14. doi: 10.1016/j.pec.2019.08.001. Epub 2019 Aug 8.,Halabi IO,Patient Educ Couns,2020,2019/08/27,,,10.1016/j.pec.2019.08.001
Scoping,36376136,Perinatal mental health counselling programme: A scoping review,"Alves SP, Costa T, Ribeiro I, Néné M, Sequeira C.",Patient Educ Couns. 2023 Jan;106:170-179. doi: 10.1016/j.pec.2022.10.347. Epub 2022 Nov 2.,Alves SP,Patient Educ Couns,2023,2022/11/14,,,10.1016/j.pec.2022.10.347
Scoping,32507590,Scoping review: Definitions and outcomes of patient-provider language concordance in healthcare,"Lor M, Martinez GA.",Patient Educ Couns. 2020 Oct;103(10):1883-1901. doi: 10.1016/j.pec.2020.05.025. Epub 2020 May 24.,Lor M,Patient Educ Couns,2020,2020/06/09,,,10.1016/j.pec.2020.05.025
