검색 키워드,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
Systematic,38349519,Pre- and post-COVID-19 gender trends in authorship for paediatric radiology articles worldwide: a systematic review,"Kamran R, Jackman L, Chan C, Lee AC, Kamran A, Alli J, Jacklin C, Deck E, Suk Y, Jackman V, Garvilles M, Shelmerdine SC, Doria AS.",Pediatr Radiol. 2024 May;54(5):831-841. doi: 10.1007/s00247-024-05855-2. Epub 2024 Feb 13.,Kamran R,Pediatr Radiol,2024,2024. 2. 13,,,10.1007/s00247-024-05855-2
Systematic,37814104,Diagnostic accuracy of whole-body magnetic resonance imaging versus positron emission tomography-computed tomography for the staging of pediatric lymphoma: a systematic review and meta-analysis,"Bhalla D, Jana M, Kandasamy D.",Pediatr Radiol. 2023 Dec;53(13):2683-2691. doi: 10.1007/s00247-023-05775-7. Epub 2023 Oct 10.,Bhalla D,Pediatr Radiol,2023,2023. 10. 9,,,10.1007/s00247-023-05775-7
Systematic,35348809,Quantifying the contribution of (18)F-FDG PET to the diagnostic assessment of pediatric patients with fever of unknown origin: a systematic review and meta-analysis,"Li Q, Tian R, Wang H, Li L, Wu T, Ren Y, Su M, Zou K, Sun X.",Pediatr Radiol. 2022 Jul;52(8):1500-1511. doi: 10.1007/s00247-022-05333-7. Epub 2022 Mar 29.,Li Q,Pediatr Radiol,2022,2022. 3. 29,,,10.1007/s00247-022-05333-7
Systematic,37195305,Current state of radiomics in pediatric neuro-oncology practice: a systematic review,"Albalkhi I, Bhatia A, Lösch N, Goetti R, Mankad K.",Pediatr Radiol. 2023 Sep;53(10):2079-2091. doi: 10.1007/s00247-023-05679-6. Epub 2023 May 17.,Albalkhi I,Pediatr Radiol,2023,2023. 5. 17,,,10.1007/s00247-023-05679-6
Systematic,35460035,Pediatric chest radiograph interpretation: how far has artificial intelligence come? A systematic literature review,"Padash S, Mohebbian MR, Adams SJ, Henderson RDE, Babyn P.",Pediatr Radiol. 2022 Jul;52(8):1568-1580. doi: 10.1007/s00247-022-05368-w. Epub 2022 Apr 23.,Padash S,Pediatr Radiol,2022,2022. 4. 23,PMC9033522,,10.1007/s00247-022-05368-w
Systematic,39545958,Accuracy of transabdominal ultrasound to diagnose functional constipation and fecal impaction in children: a systematic review and meta-analysis,"Vos JMBW, Bloem MN, de Geus A, Leeflang MMG, Spijker R, Koppen IJN, Baaleman DF, Benninga MA.",Pediatr Radiol. 2024 Dec;54(13):2227-2242. doi: 10.1007/s00247-024-06083-4. Epub 2024 Nov 15.,Vos JMBW,Pediatr Radiol,2024,2024. 11. 15,PMC11638420,,10.1007/s00247-024-06083-4
Systematic,39419855,The value of magnetic resonance imaging in congenital cytomegalovirus infection: a systematic review,"Vande Walle C, Maris F, Schiettecatte E, Herregods N.",Pediatr Radiol. 2024 Dec;54(13):2157-2174. doi: 10.1007/s00247-024-06051-y. Epub 2024 Oct 18.,Vande Walle C,Pediatr Radiol,2024,2024. 10. 17,,,10.1007/s00247-024-06051-y
Systematic,39821667,Assessing the safety and effectiveness of endoscopic ultrasound for pediatric hepato-pancreatico-biliary disorders: a systematic review,"Alomari O, Abualkhair KA, Saad K, Magdy S, Omran JA, AlSanafini MM, Hassan LA, ElBasatiny OY, Machane D, Abdulrahim M, Abo-Elmaged HG, Elshaieb M, Elfarargy MS, Elhoufey A, Dailah HG, Sayed AH, Ismail A, Walid B, Hashemy M, Afifi AM, Elgenidy A.",Pediatr Radiol. 2025 Feb;55(2):215-225. doi: 10.1007/s00247-024-06159-1. Epub 2025 Jan 17.,Alomari O,Pediatr Radiol,2025,2025. 1. 17,,,10.1007/s00247-024-06159-1
Systematic,37991500,CT contrast extravasation in children: a single-center experience and systematic review,"Dien Esquivel MF, Miller E, Bijelić V, Barrowman N, Putnins R.",Pediatr Radiol. 2024 Jan;54(1):34-42. doi: 10.1007/s00247-023-05811-6. Epub 2023 Nov 22.,Dien Esquivel MF,Pediatr Radiol,2024,2023. 11. 22,,,10.1007/s00247-023-05811-6
Systematic,37917168,Performance of two-dimensional shear wave elastography for detecting advanced liver fibrosis and cirrhosis in patients with biliary atresia: a systematic review and meta-analysis,"Dong B, Duan Y, Wang H, Chen Y, Lyu G.",Pediatr Radiol. 2023 Dec;53(13):2642-2650. doi: 10.1007/s00247-023-05796-2. Epub 2023 Nov 2.,Dong B,Pediatr Radiol,2023,2023. 11. 2,,,10.1007/s00247-023-05796-2
Systematic,35699762,Effectiveness of mock scanners and preparation programs for successful magnetic resonance imaging: a systematic review and meta-analysis,"Suzuki A, Yamaguchi R, Kim L, Kawahara T, Ishii-Takahashi A.",Pediatr Radiol. 2023 Jan;53(1):142-158. doi: 10.1007/s00247-022-05394-8. Epub 2022 Jun 14.,Suzuki A,Pediatr Radiol,2023,2022. 6. 14,,,10.1007/s00247-022-05394-8
Systematic,32910229,Early life ionizing radiation exposure and cancer risks: systematic review and meta-analysis,"Abalo KD, Rage E, Leuraud K, Richardson DB, Le Pointe HD, Laurier D, Bernier MO.",Pediatr Radiol. 2021 Jan;51(1):45-56. doi: 10.1007/s00247-020-04803-0. Epub 2020 Sep 10.,Abalo KD,Pediatr Radiol,2021,2020. 9. 10,,,10.1007/s00247-020-04803-0
Systematic,37310444,A systematic review and meta-analysis of the role of Doppler ultrasonography of the superior mesenteric artery in detecting neonates at risk of necrotizing enterocolitis,"Rallis D, Kapetaniou K, Machas P, Balomenou F, Giapros V, Saliakellis E.",Pediatr Radiol. 2023 Sep;53(10):1989-2003. doi: 10.1007/s00247-023-05695-6. Epub 2023 Jun 13.,Rallis D,Pediatr Radiol,2023,2023. 6. 13,PMC10497699,,10.1007/s00247-023-05695-6
Systematic,31838567,Bowel ultrasound measurements in healthy children - systematic review and meta-analysis,"van Wassenaer EA, de Voogd FAE, van Rijn RR, van der Lee JH, Tabbers MM, van Etten-Jamaludin FS, Kindermann A, de Meij TGJ, Gecse KB, D'Haens GR, Benninga MA, Koot BGP.",Pediatr Radiol. 2020 Apr;50(4):501-508. doi: 10.1007/s00247-019-04567-2. Epub 2019 Dec 14.,van Wassenaer EA,Pediatr Radiol,2020,2019. 12. 16,PMC7067709,,10.1007/s00247-019-04567-2
Systematic,32157365,Radiographic timelines for pediatric healing fractures: a systematic review,"Messer DL, Adler BH, Brink FW, Xiang H, Agnew AM.",Pediatr Radiol. 2020 Jul;50(8):1041-1048. doi: 10.1007/s00247-020-04648-7. Epub 2020 Mar 10.,Messer DL,Pediatr Radiol,2020,2020. 3. 12,,,10.1007/s00247-020-04648-7
Systematic,32588094,Whole-body magnetic resonance imaging in children - how and why? A systematic review,"Zadig P, von Brandis E, Lein RK, Rosendahl K, Avenarius D, Ording Müller LS.",Pediatr Radiol. 2021 Jan;51(1):14-24. doi: 10.1007/s00247-020-04735-9. Epub 2020 Jun 25.,Zadig P,Pediatr Radiol,2021,2020. 6. 27,PMC7796873,,10.1007/s00247-020-04735-9
Systematic,27048363,Neuroradiologic characteristics of astroblastoma and systematic review of the literature: 2 new cases and 125 cases reported in 59 publications,"Cunningham DA, Lowe LH, Shao L, Acosta NR.",Pediatr Radiol. 2016 Aug;46(9):1301-8. doi: 10.1007/s00247-016-3607-x. Epub 2016 Apr 5.,Cunningham DA,Pediatr Radiol,2016,2016. 4. 7,,,10.1007/s00247-016-3607-x
Systematic,38282063,Urinary tract dilation classification system for predicting surgical management and urinary tract infection in neonates and young infants: a systematic review and meta-analysis,"Kim HW, Hwang J, Pai KS, Suh YA.",Pediatr Radiol. 2024 May;54(5):795-804. doi: 10.1007/s00247-024-05854-3. Epub 2024 Jan 29.,Kim HW,Pediatr Radiol,2024,2024. 1. 28,,,10.1007/s00247-024-05854-3
Systematic,40346255,"Contemporary ultrasound, computed tomography, or magnetic resonance imaging for acute appendicitis diagnosis in children and adolescents: systematic review and meta-analysis","Castro-Luna DI, Porras-Hernandez JD, Flores-Garcia JA, Dies-Suarez P, Servin-Martinez MF, Pierdant-Perez M.",Pediatr Radiol. 2025 Jun;55(7):1448-1464. doi: 10.1007/s00247-025-06261-y. Epub 2025 May 9.,Castro-Luna DI,Pediatr Radiol,2025,2025. 5. 9,,,10.1007/s00247-025-06261-y
